Vehicle ID: 221308, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: NPR HD, Price: 36799, Year: 2018, Miles: 95730, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221308_2018_ISUZ_NPR_HD_FL-1.jpg
Vehicle ID: 221349, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 77500, Year: 2018, Miles: 96806, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221349_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221386, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 26524, Year: 2018, Miles: 297422, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221386_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221431, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 113, Price: 29800, Year: 2018, Miles: 414741, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto Shift, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221431_2018_FRTL_CASCADIA_113_FL-1.jpg
Vehicle ID: 221452, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: NRR, Price: 46504, Year: 2018, Miles: 177264, Gross Weight: 19500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221452_2018_ISUZ_NRR_FL-1.jpg
Vehicle ID: 221500, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 46187, Year: 2018, Miles: 133544, Gross Weight: 65000, Rear Axle Type: SINGLE AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221500_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221513, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 36452, Year: 2018, Miles: 282462, Gross Weight: 65000, Rear Axle Type: SINGLE AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221513_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221516, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 30800, Year: 2018, Miles: 425632, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221516_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221517, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: CASCADIA 125, Price: 40472, Year: 2018, Miles: 240689, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221517_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221521, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 29800, Year: 2018, Miles: 408780, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221521_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221523, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: NRR, Price: 46632, Year: 2018, Miles: 176533, Gross Weight: 19500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221523_2018_ISUZ_NRR_FL-1.jpg
Vehicle ID: 221528, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: CASCADIA 125, Price: 35798, Year: 2018, Miles: 350017, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221528_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221529, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 36188, Year: 2018, Miles: 347012, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221529_2018_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221570, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: FTR, Price: 45475, Year: 2018, Miles: 135455, Gross Weight: 25950, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221570_2018_ISUZ_FTR_FL-1.jpg
Vehicle ID: 221575, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 28032, Year: 2018, Miles: 294225, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221575_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221576, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 32380, Year: 2018, Miles: 268648, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221576_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221581, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 57941, Year: 2018, Miles: 143139, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221581_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221599, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 58098, Year: 2018, Miles: 78082, Gross Weight: 52000, Rear Axle Type: TANDEM AXLE, Transmission Type: MANUAL, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221599_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221676, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 40250, Year: 2018, Miles: 249865, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221676_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221682, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 46119, Year: 2018, Miles: 179434, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221682_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221687, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 26000, Year: 2018, Miles: 350824, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221687_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221688, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 52026, Year: 2018, Miles: 152259, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221688_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221689, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 113, Price: 24000, Year: 2019, Miles: 615570, Gross Weight: 65000, Rear Axle Type: SINGLE AXLE, Transmission Type: Auto Shift, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221689_2019_FRTL_CASCADIA_113_FL-1.jpg
Vehicle ID: 221711, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 53306, Year: 2018, Miles: 196971, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: 
